date,price_MOEX,volume_MOEX,log_return_MOEX,volatility_MOEX
2020-09-30,146.92,10544350,-0.01378959257729057,0.01957945770329862
2020-10-01,149.82,14,-0.00020022024293533795,0.018694570373460746
2020-10-02,147.89,24,0.012793641665205073,0.0170269078644471
2020-10-05,155.92,21,0.05145533392555226,0.019706141689212447
2020-10-06,155.92,18,0.008954802953701725,0.019434434153771326
2020-10-07,151.46,3,-0.017669460420434265,0.018854188367181036
2020-10-08,151.87,18,-0.00019751785954854952,0.01871695903961662
2020-10-09,149.55,7965320,-0.0055346388739237464,0.018546970427025234
2020-10-12,153.83,68,0.025012822468737782,0.01767648175049506
2020-10-13,151.86,12,0.0013178705122983063,0.017262285068378336
2020-10-14,151.86,16,0.023047713051807646,0.018427387434102084
2020-10-15,153.84,2,0.029955396735379572,0.01955805930718096
2020-10-16,147.89,2,-0.015831819236639354,0.019579611427190738
2020-10-19,144.42,13840520,-0.017162499928430986,0.015692005438041067
2020-10-20,146.26,13192640,-0.010812386455681085,0.01666230612616321
2020-10-21,136.2,35,-0.0820738525830743,0.024416988474390035
2020-10-22,147.64,7,0.0047525379696664195,0.030458363470674536
2020-10-23,145.86,13,0.0037090502030858482,0.03058378835773524
2020-10-26,142.08,32,-0.004143991882862905,0.03022527044098013
2020-10-27,143.74,10,0.019671844141420113,0.03058273146317465
2020-10-28,139.0,15,-0.015561738836634448,0.029941158596939552
2020-10-29,140.3,14607520,0.015804926693169047,0.029114736880241777
2020-10-30,134.15,39,-0.05862749613480717,0.03151790371925848
2020-11-02,135.5,32,0.00971493420688912,0.03154193819948283
2020-11-03,135.66,35,0.01829999741164486,0.03144194080360712
2020-11-05,138.66,16,0.04265368691112773,0.02757616014460116
2020-11-06,135.8,31,-0.014257232908428055,0.021248292870037034
2020-11-09,141.24,19907630,0.025746339471569315,0.022310307730877395
2020-11-10,137.6,21,-0.028584631797636303,0.022681745284851677
2020-11-11,135.91,43,-0.01858857328262349,0.022480044805418715
2020-11-12,135.76,33,0.00022100261609711854,0.021965831479412046
2020-11-13,135.78,47,0.012450138585868312,0.021952131748666663
2020-11-16,137.22,40,0.019500967509294698,0.017795257340841118
2020-11-17,137.1,44,0.0055588206336293355,0.017790129554015148
2020-11-18,137.15,15119410,0.008052752154356815,0.017029669586269364
2020-11-19,139.38,55,0.005179122496028493,0.013397483484212309
2020-11-20,139.5,12,0.0038784793285708383,0.012882252385617762
2020-11-23,137.99,13,-0.01074000304398725,0.011312629081997453
2020-11-24,142.06,37,0.024008276901420093,0.010727610010243577
2020-11-25,143.43,37,0.014395810563313842,0.0101003392083204
2020-11-26,146.86,17330920,0.028174767949149946,0.011669007397027182
2020-11-27,153.1,30169090,0.04065871588490175,0.013616913000358636
2020-11-30,153.39,30,0.009366369440592664,0.013191596341607138
2020-12-01,156.14,15,0.021099740760127304,0.013504910863275169
2020-12-02,160.85,34,0.03820910190846793,0.015301376995460506
2020-12-03,159.34,26,0.005664311198504054,0.016118863502373373
